t,y_t,u_tm1,z_pos_0,z_pos_1,z_pos_2,z_pos_3,z_pos_4,z_pos_5,z_pos_6,z_pos_7,z_pos_8,z_pos_9,z_neg_0,z_neg_1,z_neg_2,z_neg_3,z_neg_4,z_neg_5,z_neg_6,z_neg_7,z_neg_8,z_neg_9
188,13.455643819182944,8.473471705539822,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
189,13.712855330967859,4.718707095899406,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
190,13.957522487810612,6.1246619993590725,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
191,14.138332936167172,3.481098094500354,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
192,14.310325151657707,3.481099097170292,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
193,14.408249801464597,3.481098498190682,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
194,14.501398609544614,1.7997854250926468,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
195,14.511910846844424,1.7997867117981994,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
196,14.475600868011949,1.7997869532564537,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
197,14.39202246413798,1.7997871094392948,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
198,14.261511914731994,1.799784779478052,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
199,14.08637505552246,0.9805715950477751,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
